TEAM,WORTH
New York Knicks,3300000000
Los Angeles Lakers,3000000000
Golden State Warriors,2600000000
Chicago Bulls,2500000000
Boston Celtics,2200000000
Los Angeles Clippers,2000000000
Brooklyn Nets,1800000000
Houston Rockets,1650000000
Dallas Mavericks,1450000000
Miami Heat,1350000000
Cleveland Cavaliers,1200000000
San Antonio Spurs,1175000000
Toronto Raptors,1125000000
Phoenix Suns,1100000000
Sacramento Kings,1075000000
Portland Trail Blazers,1050000000
Oklahoma City Thunder,1025000000
Washington Wizards,1000000000
Orlando Magic,920000000
Utah Jazz,910000000
Detroit Pistons,900000000
Denver Nuggets,890000000
Atlanta Hawks,885000000
Indiana Pacers,880000000
Philadelphia 76ers,800000000
Memphis Grizzlies,790000000
Milwaukee Bucks,785000000
Charlotte Hornets,780000000
Minnesota Timberwolves,770000000
New Orleans Pelicans,750000000
